"","Brewery_id","Beer","Beer_ID","ABV","IBU","Style","Ounces","Brewery","City","State","IBUFac","ABVFac","IBUPred","ABV1"
"2132",454,"Twister Creek India Pale Ale",947,0.389412659454142,1.09175850064706,"American IPA",12,"Denali Brewing Company","Talkeetna"," AK","71","Normal (0.04 - 0.07)",71,0.065
"2133",454,"Single Engine Red",929,-0.129277819117449,0.129532517603985,"Irish Red Ale",12,"Denali Brewing Company","Talkeetna"," AK","46","Normal (0.04 - 0.07)",46,0.058
"2134",455,"Mirror Pond Pale Ale",1210,-0.722066937484983,-0.101401718326352,"American Pale Ale (APA)",12,"Deschutes Brewery","Bend"," OR","40","Normal (0.04 - 0.07)",40,0.05
"2135",456,"Dam Lager",1207,-1.09256013646469,-0.669115048321764,"American Amber / Red Lager",12,"Sunken City Brewing Company","Hardy"," VA","NA","Normal (0.04 - 0.07)",25.25,0.045
"2136",456,"Red Clay IPA",1206,0.759905858433851,0.972442478749715,"American IPA",12,"Sunken City Brewing Company","Hardy"," VA","NA","Normal (0.04 - 0.07)",67.9,0.07
"2137",457,"Hips Don't Lie",1204,0.167116740066317,0.445142640042112,"Hefeweizen",16,"Lucette Brewing Company","Menominie"," WI","NA","Normal (0.04 - 0.07)",54.2,0.062
"2138",457,"Ride Again Pale Ale",1122,-0.5738696578931,-0.517083343000958,"American Pale Ale (APA)",16,"Lucette Brewing Company","Menominie"," WI","NA","Normal (0.04 - 0.07)",29.2,0.052
"2139",457,"The Farmer's Daughter",700,-0.870264217076866,-0.636399364898299,"American Blonde Ale",16,"Lucette Brewing Company","Menominie"," WI","NA","Normal (0.04 - 0.07)",26.1,0.048
"2140",458,"Bomber Mountain Amber Ale (2013)",1200,-1.01846149666875,-0.871182504760808,"American Amber / Red Ale",12,"The Black Tooth Brewing Company","Sheridan"," WY","20","Normal (0.04 - 0.07)",20,0.046
"2141",458,"Indian Paintbrush IPA",1199,0.759905858433851,1.24571465793395,"American IPA",12,"The Black Tooth Brewing Company","Sheridan"," WY","75","Normal (0.04 - 0.07)",75,0.07
"2142",458,"Saddle Bronc Brown Ale (2013)",1198,-0.870264217076866,-1.0251386620477,"English Brown Ale",12,"The Black Tooth Brewing Company","Sheridan"," WY","16","Normal (0.04 - 0.07)",16,0.048
"2143",458,"Wagon Box Wheat Beer",1197,-0.055179179321508,-1.06362770136942,"American Pale Wheat Ale",12,"The Black Tooth Brewing Company","Sheridan"," WY","15","Normal (0.04 - 0.07)",15,0.059
"2144",459,"Skilak Scottish Ale",1193,-0.129277819117449,-0.188002056800228,"Scottish Ale",12,"Kenai River Brewing Company","Soldotna"," AK","NA","Normal (0.04 - 0.07)",37.75,0.058
"2145",459,"Peninsula Brewers Reserve (PBR)",1187,-0.722066937484983,-1.06362770136942,"American Blonde Ale",12,"Kenai River Brewing Company","Soldotna"," AK","15","Normal (0.04 - 0.07)",15,0.05
"2146",459,"Sunken Island IPA",349,0.611708578841968,0.926255631563647,"American IPA",12,"Kenai River Brewing Company","Soldotna"," AK","NA","Normal (0.04 - 0.07)",66.7,0.068
"2147",459,"Skilak Scottish Ale (2011)",348,-0.129277819117449,-0.188002056800228,"Scottish Ale",12,"Kenai River Brewing Company","Soldotna"," AK","NA","Normal (0.04 - 0.07)",37.75,0.058
"2148",460,"River North White Ale",1180,-0.722066937484983,-0.907747092116445,"Witbier",16,"River North Brewery","Denver"," CO","NA","Normal (0.04 - 0.07)",19.05,0.05
"2149",460,"River North Ale",1179,-0.722066937484983,-0.907747092116445,"American Amber / Red Ale",16,"River North Brewery","Denver"," CO","NA","Normal (0.04 - 0.07)",19.05,0.05
"2150",461,"77 Fremont Select Spring Session IPA",1174,-1.4630533354444,-0.640248268830471,"American IPA",12,"Fremont Brewing Company","Seattle"," WA","NA","Weak ( < 0.04)",26,0.04
